row                                    first witnessing probe index
r01_narrow_inhabited                   1
r02_narrow_empty                       -
r03_narrow_inhabited_pair              1
r04_narrow_empty_pair                  -
r05_square_inhabited                   2
r06_square_empty                       -
r07_relational_inhabited               0
r08_relational_empty                   -
r09_relational_array_inhabited         0
r10_relational_array_empty             -
r11_all_reduction_inhabited            -
r12_all_reduction_empty                -
r13_or_predicate_inhabited             0
r14_or_predicate_empty                 -
r15_int32_inhabited                    1
r16_int32_empty_off_grid               -
r17_float32_inhabited                  1
r18_float32_pair                       1
r19_sqrt_slack                         1
r20_sqrt_no_slack                      -
r21_exp_slack                          1
r22_exp_empty                          -
r23_two_assumes_one_empty              -
r24_two_assumes_both_live              2
r25_no_assume_refuted                  -
r26_no_assume_verified                 -
r27_certified_assume_verified          1
r28_certified_assume_refuted           1
r29_uncertified_then_verified          1
r30_uncertified_empty_verified         -
r31_wide_declaration                   1
r32_narrow_inhabited_but_assert_holds  1

witnessing rows: 17
  probes= 1: 3/17 witnesses still found  (18%)
  probes= 2: 15/17 witnesses still found  (88%)
  probes= 3: 17/17 witnesses still found  (100%)
  probes= 4: 17/17 witnesses still found  (100%)
  probes= 5: 17/17 witnesses still found  (100%)
  probes= 6: 17/17 witnesses still found  (100%)
  probes= 7: 17/17 witnesses still found  (100%)
  probes= 8: 17/17 witnesses still found  (100%)
  probes= 9: 17/17 witnesses still found  (100%)
  probes=10: 17/17 witnesses still found  (100%)
  probes=11: 17/17 witnesses still found  (100%)
  probes=12: 17/17 witnesses still found  (100%)
  probes=13: 17/17 witnesses still found  (100%)
  probes=14: 17/17 witnesses still found  (100%)
  probes=15: 17/17 witnesses still found  (100%)
  probes=16: 17/17 witnesses still found  (100%)
